Current measurements:
dvdd vdd vprech
0.0 0.000285 0.0 0.0
1.0 0.000285 0.0 0.0
2.0 0.000285 0.0 0.0
3.0 0.000285 0.0 0.0
4.0 0.000285 0.0 0.0
5.0 0.000285 0.0 0.0
6.0 0.000285 0.0 0.0
7.0 0.000285 0.0 0.0
8.0 0.000285 0.0 0.0
9.0 0.000285 0.0 0.0
10.0 0.000285 0.0 0.0
11.0 0.000285 0.0 0.0
12.0 0.000285 0.0 0.0
13.0 0.000285 0.0 0.0
14.0 0.000285 0.0 0.0
15.0 0.000285 0.0 0.0
16.0 0.000285 0.0 0.0
17.0 0.000285 0.0 0.0
18.0 0.000285 0.0 0.0
19.0 0.000285 0.0 0.0
20.0 0.000285 0.0 0.0
21.0 0.000285 0.0 0.0
22.0 0.000285 0.0 0.00076
23.0 0.000285 0.0 0.00076
24.0 0.000285 0.0 0.00076
25.0 0.000285 0.0 0.00076
26.0 0.000285 0.0 0.00076
27.0 0.000285 0.0 0.00076
28.0 0.000285 0.0 0.00076
29.0 0.000285 0.0 0.00076
30.0 0.000285 0.0 0.00076
31.0 0.000285 0.0 0.00076
32.0 0.000285 0.0 0.00076
33.0 0.000285 0.0 0.00076
34.0 0.000285 0.0 0.00076
35.0 0.000285 0.0 0.00076
36.0 0.000285 0.0 0.00076
37.0 0.000285 0.0 0.00076
38.0 0.000285 0.0 0.00076
39.0 0.000285 0.0 0.00076
40.0 0.000285 0.0 0.00076
41.0 0.000285 0.0 0.00076
42.0 0.000285 0.0 0.00076
43.0 0.000285 0.0 0.00076
44.0 0.000285 0.0 0.00076
45.0 0.000285 0.0 0.00076
46.0 0.000285 0.0 0.00076
47.0 0.000285 0.0 0.00076
48.0 0.000285 0.0 0.00076
49.0 0.000285 0.0 0.00076
50.0 0.000285 0.0 0.00076
51.0 0.000285 0.0 0.00076
52.0 0.000285 0.0 0.00076
53.0 0.000285 0.0 0.00076
54.0 0.000285 0.0 0.00076
55.0 0.000285 0.0 0.00076
56.0 0.000285 0.0 0.00076
57.0 0.000285 0.0 0.00076
58.0 0.000285 0.0 0.00076
59.0 0.000285 0.0 0.00076
60.0 0.000285 0.0 0.00076
61.0 0.000285 0.0 0.00076
62.0 0.000285 0.0 0.00076
63.0 0.000285 0.0 0.00076
64.0 0.000285 0.0 0.00076
65.0 0.000285 0.0 0.00076
66.0 0.000285 0.0 0.00076
67.0 0.000285 0.0 0.00076
68.0 0.000285 0.0 0.00076
69.0 0.000285 0.0 0.00076
70.0 0.000285 0.0 0.00076
71.0 0.000285 0.0 0.00076
72.0 0.000285 0.0 0.00076
73.0 0.000285 0.0 0.00076
74.0 0.000285 0.0 0.00076
75.0 0.000285 0.0 0.00076
76.0 0.000285 0.0 0.00076
77.0 0.000285 0.0 0.00076
78.0 0.000285 0.0 0.00076
79.0 0.000285 0.0 0.00076
80.0 0.000285 0.0 0.00076
81.0 0.000285 0.0 0.00076
82.0 0.000285 0.0 0.00076
83.0 0.000285 0.0 0.00076
84.0 0.000285 0.0 0.00076
85.0 0.000285 0.0 0.00076
86.0 0.000285 0.0 0.00076
87.0 0.000285 0.0 0.00076
88.0 0.000285 0.0 0.00076
89.0 0.000285 0.0 0.00076
90.0 0.000285 0.0 0.00076
91.0 0.000285 0.0 0.00076
92.0 0.000285 0.0 0.00076
93.0 0.000285 0.0 0.00076
94.0 0.000285 0.0 0.00076
95.0 0.000285 0.0 0.00076
96.0 0.000285 0.0 0.00076
97.0 0.000285 0.0 0.00076
98.0 0.000285 0.0 0.00076
99.0 0.000285 0.0 0.00076
100.0 0.000285 0.0 0.00076
101.0 0.000285 0.0 0.00076
102.0 0.000285 0.0 0.00076
103.0 0.000285 0.0 0.00076
104.0 0.000285 0.0 0.00076
105.0 0.000285 0.0 0.00076
106.0 0.000285 0.0 0.00076
107.0 0.000285 0.0 0.00076
108.0 0.000285 0.0 0.00076
109.0 0.000285 0.0 0.00076
110.0 0.000285 0.0 0.00076
111.0 0.000285 0.0 0.00076
112.0 0.000285 0.0 0.00076
113.0 0.000285 0.0 0.00076
114.0 0.000285 0.0 0.00076
115.0 0.000285 0.0 0.00076
116.0 0.000285 0.0 0.00076
117.0 0.000285 0.0 0.00076
118.0 0.000285 0.0 0.00076
119.0 0.000285 0.0 0.00076
120.0 0.000285 0.0 0.00076
121.0 0.000285 0.0 0.00076
122.0 0.000285 0.0 0.00076
123.0 0.000285 0.0 0.00076
124.0 0.000285 0.0 0.00076
125.0 0.000285 0.0 0.00076
126.0 0.000285 0.0 0.00076
127.0 0.000285 0.0 0.00076
128.0 0.000285 0.0 0.00076
129.0 0.000285 0.0 0.00076
130.0 0.000285 0.0 0.00076
131.0 0.000285 0.0 0.00076
132.0 0.000285 0.0 0.00076
133.0 0.000285 0.0 0.00076
134.0 0.000285 0.0 0.00076
135.0 0.000285 0.0 0.00076
136.0 0.000285 0.0 0.00076
137.0 0.000285 0.0 0.00076
138.0 0.000285 0.0 0.00076
139.0 0.000285 0.0 0.00076
140.0 0.000285 0.0 0.00076
141.0 0.000285 0.0 0.00076
142.0 0.000285 0.0 0.00076
143.0 0.000285 0.0 0.00076
144.0 0.000285 0.0 0.00076
145.0 0.000285 0.0 0.00076
146.0 0.000285 0.0 0.00076
147.0 0.000285 0.0 0.00076
148.0 0.000285 0.0 0.00076
149.0 0.000285 0.0 0.00076
150.0 0.000285 0.0 0.00076
151.0 0.000285 0.0 0.00076
152.0 0.000285 0.0 0.00076
153.0 0.000285 0.0 0.00076
154.0 0.000285 0.0 0.00076
155.0 0.000285 0.0 0.00076
156.0 0.000285 0.0 0.00076
157.0 0.000285 0.0 0.00076
158.0 0.000285 0.0 0.00076
159.0 0.000285 0.0 0.00076
160.0 0.000285 0.0 0.00076
161.0 0.000285 0.0 0.00076
162.0 0.000285 0.0 0.00076
163.0 0.000285 0.0 0.00076
164.0 0.000285 0.0 0.00076
165.0 0.000285 0.0 0.00076
166.0 0.000285 0.0 0.00076
167.0 0.000285 0.0 0.00076
168.0 0.000285 0.0 0.00076
169.0 0.000285 0.0 0.00076
170.0 0.000285 0.0 0.00076
171.0 0.000285 0.0 0.00076
172.0 0.000285 0.0 0.00076
173.0 0.000285 0.0 0.00076
174.0 0.000285 0.0 0.00076
175.0 0.000285 0.0 0.00076
176.0 0.000285 0.0 0.00076
177.0 0.000285 0.0 0.00076
178.0 0.000285 0.0 0.00076
179.0 0.000285 0.0 0.00076
180.0 0.000285 0.0 0.00076
181.0 0.000285 0.0 0.00076
182.0 0.000285 0.0 0.00076
183.0 0.000285 0.0 0.00076
184.0 0.000285 0.0 0.00076
185.0 0.000285 0.0 0.00076
186.0 0.000285 0.0 0.00076
187.0 0.02109 0.0 0.00076
188.0 0.02109 0.0 0.00076
189.0 0.02109 0.0 0.00076
190.0 0.02109 0.0 0.00076
191.0 0.02109 0.0 0.00076
192.0 0.02109 0.0 0.00076
193.0 0.02109 0.0 0.00076
194.0 0.02109 0.0 0.00076
195.0 0.02109 0.0 0.00076
196.0 0.02109 0.0 0.00076
197.0 0.02109 0.0 0.00076
198.0 0.02109 0.0 0.00076
199.0 0.02109 0.0 0.00076
