Current measurements:
dvdd vdd vprech
0.0 0.00038 9.5e-05 0.000285
1.0 0.00038 9.5e-05 0.000285
2.0 0.00038 9.5e-05 0.000285
3.0 0.00038 9.5e-05 0.000285
4.0 0.00038 9.5e-05 0.000285
5.0 0.00038 9.5e-05 0.000285
6.0 0.00038 9.5e-05 0.000285
7.0 0.00038 9.5e-05 0.000285
8.0 0.00038 9.5e-05 0.000285
9.0 0.00038 9.5e-05 0.000285
10.0 0.00038 9.5e-05 0.000285
11.0 0.00038 9.5e-05 0.000285
12.0 0.00038 9.5e-05 0.000285
13.0 0.00038 9.5e-05 0.000285
14.0 0.00038 9.5e-05 0.000285
15.0 0.00038 9.5e-05 0.000285
16.0 0.00038 9.5e-05 0.000285
17.0 0.00038 9.5e-05 0.000285
18.0 0.00038 9.5e-05 0.000285
19.0 0.00038 9.5e-05 0.000285
20.0 0.00038 9.5e-05 0.000285
21.0 0.00038 9.5e-05 0.000285
22.0 0.00038 9.5e-05 0.000285
23.0 0.00038 9.5e-05 0.000285
24.0 0.00038 9.5e-05 0.000285
25.0 0.00038 9.5e-05 0.000285
26.0 0.00038 9.5e-05 0.000285
27.0 0.00038 9.5e-05 0.000285
28.0 0.00038 9.5e-05 0.000285
29.0 0.00038 9.5e-05 0.000285
30.0 0.00038 9.5e-05 0.000285
31.0 0.00038 9.5e-05 0.000285
32.0 0.00038 9.5e-05 0.000285
33.0 0.00038 9.5e-05 0.000285
34.0 0.00038 9.5e-05 0.000285
35.0 0.00038 9.5e-05 0.000285
36.0 0.00038 9.5e-05 0.000285
37.0 0.00038 9.5e-05 0.000285
38.0 0.00038 9.5e-05 0.000285
39.0 0.00038 9.5e-05 0.000285
40.0 0.00038 9.5e-05 0.000285
41.0 0.00038 9.5e-05 0.000285
42.0 0.00038 9.5e-05 0.000285
43.0 0.00038 9.5e-05 0.000285
44.0 0.00038 9.5e-05 0.000285
45.0 0.00038 9.5e-05 0.000285
46.0 0.00038 9.5e-05 0.000285
47.0 0.00038 9.5e-05 0.000285
48.0 0.00038 9.5e-05 0.000285
49.0 0.00038 9.5e-05 0.000285
50.0 0.00038 9.5e-05 0.000285
51.0 0.00038 9.5e-05 0.000285
52.0 0.00038 9.5e-05 0.000285
53.0 0.00038 9.5e-05 0.000285
54.0 0.00038 9.5e-05 0.000285
55.0 0.00038 9.5e-05 0.000285
56.0 0.00038 9.5e-05 0.000285
57.0 0.00038 9.5e-05 0.000285
58.0 0.00038 9.5e-05 0.000285
59.0 0.00038 9.5e-05 0.000285
60.0 0.00038 9.5e-05 0.000285
61.0 0.00038 9.5e-05 0.000285
62.0 0.00038 9.5e-05 0.000285
63.0 0.00038 9.5e-05 0.000285
64.0 0.00038 9.5e-05 0.000285
65.0 0.00038 9.5e-05 0.000285
66.0 0.00038 9.5e-05 0.000285
67.0 0.00038 9.5e-05 0.000285
68.0 0.00038 9.5e-05 0.000285
69.0 0.00038 9.5e-05 0.000285
70.0 0.00038 9.5e-05 0.000285
71.0 0.00038 9.5e-05 0.000285
72.0 0.00038 9.5e-05 0.000285
73.0 0.00038 9.5e-05 0.000285
74.0 0.00038 9.5e-05 0.000285
75.0 0.00038 9.5e-05 0.000285
76.0 0.00038 9.5e-05 0.000285
77.0 0.00038 9.5e-05 0.000285
78.0 0.00038 9.5e-05 0.000285
79.0 0.00038 9.5e-05 0.000285
80.0 0.018905 9.5e-05 0.000285
81.0 0.018905 9.5e-05 0.000285
82.0 0.018905 0.0019 0.000285
83.0 0.018905 0.0019 0.000285
84.0 0.018905 0.0019 0.000285
85.0 0.018905 0.0019 0.000285
86.0 0.018905 0.0019 0.000285
87.0 0.018905 0.0019 0.000285
88.0 0.018905 0.0019 0.000285
89.0 0.018905 0.0019 0.000285
90.0 0.018905 0.0019 0.000285
91.0 0.018905 0.0019 0.000285
92.0 0.018905 0.0019 0.000285
93.0 0.018905 0.0019 0.000285
94.0 0.018905 0.0019 0.000285
95.0 0.018905 0.0019 0.000285
96.0 0.018905 0.0019 0.000285
97.0 0.018905 0.0019 0.000285
98.0 0.018905 0.0019 0.000285
99.0 0.018905 0.0019 0.000285
100.0 0.018905 0.0019 0.000285
101.0 0.018905 0.0019 0.000285
102.0 0.018905 0.0019 0.000285
103.0 0.018905 0.0019 0.000285
104.0 0.018905 0.0019 0.000285
105.0 0.018905 0.0019 0.000285
106.0 0.018905 0.0019 0.00114
107.0 0.018905 0.0019 0.00114
108.0 0.018905 0.0019 0.00114
109.0 0.018905 0.0019 0.00114
110.0 0.018905 0.0019 0.00114
111.0 0.018905 0.0019 0.00114
112.0 0.018905 0.0019 0.00114
113.0 0.018905 0.0019 0.00114
114.0 0.018905 0.0019 0.00114
115.0 0.018905 0.0019 0.00114
116.0 0.018905 0.0019 0.00114
117.0 0.018905 0.0019 0.00114
118.0 0.018905 0.0019 0.00114
119.0 0.018905 0.0019 0.00114
120.0 0.018905 0.0019 0.00114
121.0 0.018905 0.0019 0.00114
122.0 0.018905 0.0019 0.00114
123.0 0.018905 0.0019 0.00114
124.0 0.018905 0.0019 0.00114
125.0 0.018905 0.0019 0.00114
126.0 0.018905 0.0019 0.00114
127.0 0.018905 0.0019 0.00114
128.0 0.018905 0.0019 0.00114
129.0 0.018905 0.0019 0.00114
130.0 0.018905 0.0019 0.00114
131.0 0.018905 0.0019 0.00114
132.0 0.018905 0.0019 0.00114
133.0 0.018905 0.0019 0.00114
134.0 0.018905 0.0019 0.00114
135.0 0.018905 0.0019 0.00114
136.0 0.018905 0.0019 0.00114
137.0 0.018905 0.0019 0.00114
138.0 0.018905 0.0019 0.00114
139.0 0.018905 0.0019 0.00114
140.0 0.018905 0.0019 0.00114
141.0 0.018905 0.0019 0.00114
142.0 0.018905 0.0019 0.00114
143.0 0.018905 0.0019 0.00114
144.0 0.018905 0.0019 0.00114
145.0 0.018905 0.0019 0.00114
146.0 0.018905 0.0019 0.00114
147.0 0.018905 0.0019 0.00114
148.0 0.018905 0.0019 0.00114
149.0 0.018905 0.0019 0.00114
150.0 0.018905 0.0019 0.00114
151.0 0.018905 0.0019 0.00114
152.0 0.018905 0.0019 0.00114
153.0 0.018905 0.0019 0.00114
154.0 0.018905 0.0019 0.00114
155.0 0.018905 0.0019 0.00114
156.0 0.018905 0.0019 0.00114
157.0 0.018905 0.0019 0.00114
158.0 0.018905 0.0019 0.00114
159.0 0.018905 0.0019 0.00114
160.0 0.018905 0.0019 0.00114
161.0 0.018905 0.0019 0.00114
162.0 0.018905 0.0019 0.00114
163.0 0.018905 0.0019 0.00114
164.0 0.018905 0.0019 0.00114
165.0 0.018905 0.0019 0.00114
166.0 0.018905 0.0019 0.00114
167.0 0.018905 0.0019 0.00114
168.0 0.018905 0.0019 0.00114
169.0 0.018905 0.0019 0.00114
170.0 0.018905 0.0019 0.00114
171.0 0.018905 0.0019 0.00114
172.0 0.018905 0.0019 0.00114
173.0 0.018905 0.0019 0.00114
174.0 0.018905 0.0019 0.00114
175.0 0.018905 0.0019 0.00114
176.0 0.018905 0.0019 0.00114
177.0 0.018905 0.0019 0.00114
178.0 0.018905 0.0019 0.00114
179.0 0.018905 0.0019 0.00114
180.0 0.018905 0.0019 0.00114
181.0 0.018905 0.0019 0.00114
182.0 0.018905 0.0019 0.00114
183.0 0.018905 0.0019 0.00114
184.0 0.018905 0.0019 0.00114
185.0 0.018905 0.0019 0.00114
186.0 0.018905 0.0019 0.00114
187.0 0.018905 0.0019 0.00114
188.0 0.018905 0.0019 0.00114
189.0 0.018905 0.0019 0.00114
190.0 0.018905 0.0019 0.00114
191.0 0.018905 0.0019 0.00114
192.0 0.018905 0.0019 0.00114
193.0 0.018905 0.0019 0.00114
194.0 0.018905 0.0019 0.00114
195.0 0.018905 0.0019 0.00114
196.0 0.018905 0.0019 0.00114
197.0 0.018905 0.0019 0.00114
198.0 0.018905 0.0019 0.00114
199.0 0.018905 0.0019 0.00114
200.0 0.018905 0.0019 0.00114
201.0 0.018905 0.0019 0.00114
202.0 0.018905 0.0019 0.00114
203.0 0.018905 0.0019 0.00114
204.0 0.018905 0.0019 0.00114
205.0 0.018905 0.0019 0.00114
206.0 0.018905 0.0019 0.00114
207.0 0.018905 0.0019 0.00114
208.0 0.018905 0.0019 0.00114
209.0 0.018905 0.0019 0.00114
210.0 0.018905 0.0019 0.00114
211.0 0.018905 0.0019 0.00114
212.0 0.018905 0.0019 0.00114
213.0 0.018905 0.0019 0.00114
214.0 0.018905 0.0019 0.00114
215.0 0.018905 0.0019 0.00114
216.0 0.018905 0.0019 0.00114
217.0 0.018905 0.0019 0.00114
218.0 0.018905 0.0019 0.00114
219.0 0.018905 0.0019 0.00114
220.0 0.018905 0.0019 0.00114
221.0 0.018905 0.0019 0.00114
222.0 0.018905 0.0019 0.00114
223.0 0.018905 0.0019 0.00114
224.0 0.018905 0.0019 0.00114
225.0 0.018905 0.0019 0.00114
226.0 0.018905 0.0019 0.00114
227.0 0.018905 0.0019 0.00114
228.0 0.018905 0.0019 0.00114
229.0 0.018905 0.0019 0.00114
230.0 0.018905 0.0019 0.00114
231.0 0.018905 0.0019 0.00114
232.0 0.018905 0.0019 0.00114
233.0 0.018905 0.0019 0.00114
234.0 0.018905 0.0019 0.00114
235.0 0.018905 0.0019 0.00114
236.0 0.018905 0.0019 0.00114
237.0 0.018905 0.0019 0.00114
238.0 0.018905 0.0019 0.00114
239.0 0.018905 0.0019 0.00114
240.0 0.018905 0.0019 0.00114
241.0 0.018905 0.0019 0.00114
242.0 0.018905 0.0019 0.00114
243.0 0.018905 0.0019 0.00114
244.0 0.018905 0.0019 0.00114
245.0 0.018905 0.0019 0.00114
246.0 0.018905 0.0019 0.00114
247.0 0.018905 0.0019 0.00114
248.0 0.018905 0.0019 0.00114
249.0 0.018905 0.0019 0.00114
250.0 0.018905 0.0019 0.00114
251.0 0.018905 0.0019 0.00114
252.0 0.018905 0.0019 0.00114
253.0 0.018905 0.0019 0.00114
254.0 0.018905 0.0019 0.00114
255.0 0.018905 0.0019 0.00114
256.0 0.018905 0.0019 0.00114
257.0 0.018905 0.0019 0.00114
258.0 0.018905 0.0019 0.00114
259.0 0.018905 0.0019 0.00114
260.0 0.018905 0.0019 0.00114
261.0 0.018905 0.0019 0.00114
262.0 0.018905 0.0019 0.00114
263.0 0.018905 0.0019 0.00114
264.0 0.018905 0.0019 0.00114
265.0 0.018905 0.0019 0.00114
266.0 0.018905 0.0019 0.00114
267.0 0.018905 0.0019 0.00114
268.0 0.018905 0.0019 0.00114
269.0 0.018905 0.0019 0.00114
270.0 0.018905 0.0019 0.00114
271.0 0.036195 0.0019 0.00114
272.0 0.036195 0.0019 0.00114
273.0 0.036195 0.0019 0.00114
274.0 0.036195 0.0019 0.00114
275.0 0.036195 0.0019 0.00114
276.0 0.036195 0.0019 0.00114
277.0 0.036195 0.0019 0.00114
278.0 0.036195 0.0019 0.00114
279.0 0.036195 0.0019 0.00114
280.0 0.036195 0.0019 0.00114
281.0 0.036195 0.0019 0.00114
282.0 0.036195 0.0019 0.00114
283.0 0.036195 0.0019 0.00114
284.0 0.036195 0.0019 0.00114
285.0 0.036195 0.0019 0.00114
286.0 0.036195 0.0019 0.00114
287.0 0.036195 0.0019 0.00114
288.0 0.036195 0.0019 0.00114
289.0 0.036195 0.0019 0.00114
290.0 0.036195 0.0019 0.00114
291.0 0.036195 0.0019 0.00114
292.0 0.036195 0.0019 0.00114
293.0 0.036195 0.0019 0.00114
294.0 0.036195 0.0019 0.00114
295.0 0.036195 0.003515 0.00114
296.0 0.036195 0.003515 0.00114
297.0 0.036195 0.003515 0.00209
298.0 0.036195 0.003515 0.00209
299.0 0.036195 0.003515 0.00209
300.0 0.036195 0.003515 0.00209
301.0 0.036195 0.003515 0.00209
302.0 0.036195 0.003515 0.00209
303.0 0.036195 0.003515 0.00209
