Current measurements:
dvdd vdd vprech
166.0 0.00988 9.5e-05 0.00038
167.0 0.00988 9.5e-05 0.00038
168.0 0.00988 9.5e-05 0.00038
169.0 0.00988 9.5e-05 0.00038
170.0 0.00988 9.5e-05 0.00038
171.0 0.00988 9.5e-05 0.00038
172.0 0.00988 9.5e-05 0.00038
173.0 0.00988 9.5e-05 0.00038
174.0 0.00988 9.5e-05 0.00038
175.0 0.00988 9.5e-05 0.00038
176.0 0.00988 9.5e-05 0.00038
177.0 0.00988 9.5e-05 0.00038
178.0 0.00988 9.5e-05 0.00038
179.0 0.00988 9.5e-05 0.00038
180.0 0.00988 9.5e-05 0.00038
181.0 0.00988 9.5e-05 0.00038
182.0 0.00988 9.5e-05 0.00038
183.0 0.00988 9.5e-05 0.00038
184.0 0.00988 9.5e-05 0.00038
185.0 0.00988 9.5e-05 0.00038
186.0 0.00988 9.5e-05 0.00038
187.0 0.00988 9.5e-05 0.00038
188.0 0.00988 9.5e-05 0.00038
189.0 0.00988 9.5e-05 0.00038
190.0 0.00988 9.5e-05 0.00038
191.0 0.00988 9.5e-05 0.00038
192.0 0.00988 9.5e-05 0.00038
193.0 0.00988 9.5e-05 0.00038
194.0 0.00988 9.5e-05 0.00038
195.0 0.00988 9.5e-05 0.00038
196.0 0.00988 9.5e-05 0.00038
197.0 0.00988 9.5e-05 0.00038
198.0 0.00988 9.5e-05 0.00038
199.0 0.00988 9.5e-05 0.00038
200.0 0.00988 9.5e-05 0.00038
201.0 0.00988 9.5e-05 0.00038
202.0 0.00988 9.5e-05 0.00038
203.0 0.00988 9.5e-05 0.00038
204.0 0.00988 9.5e-05 0.00038
205.0 0.00988 9.5e-05 0.00038
206.0 0.00988 9.5e-05 0.00038
207.0 0.00988 9.5e-05 0.00038
208.0 0.00988 9.5e-05 0.00038
209.0 0.00988 9.5e-05 0.00038
210.0 0.00988 9.5e-05 0.00038
211.0 0.00988 9.5e-05 0.00038
212.0 0.00988 9.5e-05 0.00038
213.0 0.00988 9.5e-05 0.00038
214.0 0.00988 9.5e-05 0.00038
215.0 0.00988 9.5e-05 0.00038
216.0 0.00988 9.5e-05 0.00038
217.0 0.00988 9.5e-05 0.00038
218.0 0.00988 9.5e-05 0.00038
219.0 0.00988 9.5e-05 0.00038
220.0 0.00988 9.5e-05 0.00038
221.0 0.00988 9.5e-05 0.00038
222.0 0.00988 9.5e-05 0.00038
223.0 0.00988 9.5e-05 0.00038
224.0 0.00988 9.5e-05 0.00038
225.0 0.00988 9.5e-05 0.00038
226.0 0.00988 9.5e-05 0.00038
227.0 0.00988 9.5e-05 0.00038
228.0 0.00988 9.5e-05 0.00038
229.0 0.00988 9.5e-05 0.00038
230.0 0.00988 9.5e-05 0.00038
231.0 0.00988 9.5e-05 0.00038
232.0 0.00988 9.5e-05 0.00038
233.0 0.00988 9.5e-05 0.00038
234.0 0.00988 9.5e-05 0.00038
235.0 0.00988 9.5e-05 0.00038
236.0 0.00988 9.5e-05 0.00038
237.0 0.00988 9.5e-05 0.00038
238.0 0.00988 9.5e-05 0.00038
239.0 0.00988 9.5e-05 0.00038
240.0 0.00988 9.5e-05 0.00038
241.0 0.00988 9.5e-05 0.00038
242.0 0.00988 9.5e-05 0.00038
243.0 0.00988 9.5e-05 0.00038
244.0 0.00988 9.5e-05 0.00038
245.0 0.00988 9.5e-05 0.00038
246.0 0.00988 9.5e-05 0.00038
247.0 0.00988 9.5e-05 0.00038
248.0 0.00988 9.5e-05 0.00038
249.0 0.01596 9.5e-05 0.00038
250.0 0.01596 9.5e-05 0.00038
251.0 0.01596 9.5e-05 0.00038
252.0 0.01596 9.5e-05 0.00038
253.0 0.01596 9.5e-05 0.00038
254.0 0.01596 9.5e-05 0.00038
255.0 0.01596 9.5e-05 0.00038
256.0 0.01596 9.5e-05 0.00038
257.0 0.01596 9.5e-05 0.00038
258.0 0.01596 9.5e-05 0.00038
259.0 0.01596 9.5e-05 0.00038
260.0 0.01596 9.5e-05 0.00038
261.0 0.01596 9.5e-05 0.00038
262.0 0.01596 9.5e-05 0.00038
263.0 0.01596 9.5e-05 0.00038
264.0 0.01596 9.5e-05 0.00038
265.0 0.01596 9.5e-05 0.00038
266.0 0.01596 9.5e-05 0.00038
267.0 0.01596 9.5e-05 0.00038
268.0 0.01596 9.5e-05 0.000475
269.0 0.01596 9.5e-05 0.000475
270.0 0.01596 9.5e-05 0.000475
271.0 0.01596 9.5e-05 0.000475
272.0 0.01596 9.5e-05 0.000475
273.0 0.01596 9.5e-05 0.000475
274.0 0.01596 9.5e-05 0.000475
275.0 0.01596 9.5e-05 0.000475
276.0 0.01596 9.5e-05 0.000475
277.0 0.01596 9.5e-05 0.000475
278.0 0.01596 9.5e-05 0.000475
279.0 0.01596 9.5e-05 0.000475
280.0 0.01596 9.5e-05 0.000475
281.0 0.01596 9.5e-05 0.000475
282.0 0.01596 9.5e-05 0.000475
283.0 0.01596 9.5e-05 0.000475
284.0 0.01596 9.5e-05 0.000475
285.0 0.01596 9.5e-05 0.000475
286.0 0.01596 9.5e-05 0.000475
287.0 0.01596 9.5e-05 0.000475
288.0 0.01596 9.5e-05 0.000475
289.0 0.01596 9.5e-05 0.000475
290.0 0.01596 9.5e-05 0.000475
291.0 0.01596 9.5e-05 0.000475
292.0 0.01596 9.5e-05 0.000475
293.0 0.01596 9.5e-05 0.000475
294.0 0.01596 9.5e-05 0.000475
295.0 0.01596 9.5e-05 0.000475
296.0 0.01596 9.5e-05 0.000475
297.0 0.01596 9.5e-05 0.000475
298.0 0.01596 9.5e-05 0.000475
299.0 0.01596 9.5e-05 0.000475
300.0 0.01596 9.5e-05 0.000475
301.0 0.01596 9.5e-05 0.000475
302.0 0.01596 9.5e-05 0.000475
303.0 0.01596 9.5e-05 0.000475
304.0 0.01596 9.5e-05 0.000475
305.0 0.01596 9.5e-05 0.000475
306.0 0.01596 9.5e-05 0.000475
307.0 0.01596 9.5e-05 0.000475
308.0 0.01596 9.5e-05 0.000475
309.0 0.01596 9.5e-05 0.000475
310.0 0.01596 9.5e-05 0.000475
311.0 0.01596 9.5e-05 0.000475
312.0 0.01596 9.5e-05 0.000475
313.0 0.01596 9.5e-05 0.000475
314.0 0.01596 9.5e-05 0.000475
315.0 0.01596 9.5e-05 0.000475
316.0 0.01596 9.5e-05 0.000475
317.0 0.01596 9.5e-05 0.000475
318.0 0.01596 9.5e-05 0.000475
319.0 0.01596 9.5e-05 0.000475
320.0 0.01596 9.5e-05 0.000475
321.0 0.01596 9.5e-05 0.000475
322.0 0.01596 9.5e-05 0.000475
323.0 0.01596 9.5e-05 0.000475
324.0 0.01596 9.5e-05 0.000475
325.0 0.01596 9.5e-05 0.000475
326.0 0.01596 9.5e-05 0.000475
327.0 0.01596 9.5e-05 0.000475
328.0 0.01596 9.5e-05 0.000475
329.0 0.01596 9.5e-05 0.000475
330.0 0.01596 9.5e-05 0.000475
331.0 0.01596 9.5e-05 0.000475
332.0 0.01596 9.5e-05 0.000475
333.0 0.01596 9.5e-05 0.000475
334.0 0.01596 9.5e-05 0.000475
335.0 0.01596 9.5e-05 0.000475
336.0 0.01596 9.5e-05 0.000475
337.0 0.01596 9.5e-05 0.000475
338.0 0.01596 9.5e-05 0.000475
339.0 0.01596 9.5e-05 0.000475
340.0 0.01596 9.5e-05 0.000475
