Current measurements:
dvdd vdd vprech
0.0 0.00019 9.5e-05 9.5e-05
1.0 0.00019 9.5e-05 9.5e-05
2.0 0.00019 9.5e-05 9.5e-05
3.0 0.00019 9.5e-05 9.5e-05
4.0 0.00019 9.5e-05 9.5e-05
5.0 0.00019 9.5e-05 9.5e-05
6.0 0.00019 9.5e-05 9.5e-05
7.0 0.00019 9.5e-05 9.5e-05
8.0 0.00019 9.5e-05 9.5e-05
9.0 0.00019 9.5e-05 9.5e-05
10.0 0.00019 9.5e-05 9.5e-05
11.0 0.00019 9.5e-05 9.5e-05
12.0 0.00019 9.5e-05 9.5e-05
13.0 0.00019 9.5e-05 9.5e-05
14.0 0.00019 9.5e-05 9.5e-05
15.0 0.00019 9.5e-05 9.5e-05
16.0 0.00019 9.5e-05 9.5e-05
17.0 0.00019 9.5e-05 9.5e-05
18.0 0.00019 9.5e-05 9.5e-05
19.0 0.00019 9.5e-05 9.5e-05
20.0 0.00019 9.5e-05 9.5e-05
21.0 0.00019 9.5e-05 9.5e-05
22.0 0.00019 9.5e-05 9.5e-05
23.0 0.00019 9.5e-05 9.5e-05
24.0 0.00019 9.5e-05 9.5e-05
25.0 0.00019 9.5e-05 9.5e-05
26.0 0.00019 9.5e-05 9.5e-05
27.0 0.00019 9.5e-05 9.5e-05
28.0 0.00019 9.5e-05 9.5e-05
29.0 0.00019 9.5e-05 9.5e-05
30.0 0.00019 9.5e-05 9.5e-05
31.0 0.00019 9.5e-05 0.00019
32.0 0.00019 9.5e-05 0.00019
33.0 0.00019 9.5e-05 0.00019
34.0 0.00019 9.5e-05 0.00019
35.0 0.00019 9.5e-05 0.00019
36.0 0.00019 9.5e-05 0.00019
37.0 0.00019 9.5e-05 0.00019
38.0 0.00019 9.5e-05 0.00019
39.0 0.00019 9.5e-05 0.00019
40.0 0.00019 9.5e-05 0.00019
41.0 0.00019 9.5e-05 0.00019
42.0 0.00019 9.5e-05 0.00019
43.0 0.00019 9.5e-05 0.00019
44.0 0.00019 9.5e-05 0.00019
45.0 0.00019 9.5e-05 0.00019
46.0 0.00019 9.5e-05 0.00019
47.0 0.00019 9.5e-05 0.00019
48.0 0.00019 9.5e-05 0.00019
49.0 0.00019 9.5e-05 0.00019
50.0 0.00019 9.5e-05 0.00019
51.0 0.00019 9.5e-05 0.00019
52.0 0.00019 9.5e-05 0.00019
53.0 0.00019 9.5e-05 0.00019
54.0 0.00019 9.5e-05 0.00019
55.0 0.00019 9.5e-05 0.00019
56.0 0.00019 9.5e-05 0.00019
57.0 0.00019 9.5e-05 0.00019
58.0 0.00019 9.5e-05 0.00019
59.0 0.00019 9.5e-05 0.00019
60.0 0.00019 9.5e-05 0.00019
61.0 0.00019 9.5e-05 0.00019
62.0 0.00019 9.5e-05 0.00019
63.0 0.00019 9.5e-05 0.00019
64.0 0.00019 9.5e-05 0.00019
65.0 0.00019 9.5e-05 0.00019
66.0 0.00019 9.5e-05 0.00019
67.0 0.00019 9.5e-05 0.00019
