Current measurements:
dvdd vdd vprech
0.0 0.00019 9.5e-05 9.5e-05
1.0 0.00019 9.5e-05 9.5e-05
2.0 0.00019 9.5e-05 9.5e-05
3.0 0.00019 9.5e-05 9.5e-05
4.0 0.00019 9.5e-05 9.5e-05
5.0 0.00019 9.5e-05 9.5e-05
6.0 0.00019 9.5e-05 9.5e-05
7.0 0.00019 9.5e-05 9.5e-05
8.0 0.00019 9.5e-05 9.5e-05
9.0 0.00019 9.5e-05 9.5e-05
10.0 0.00019 9.5e-05 9.5e-05
11.0 0.00019 9.5e-05 9.5e-05
12.0 0.00019 9.5e-05 9.5e-05
13.0 0.00019 9.5e-05 9.5e-05
14.0 0.00019 9.5e-05 9.5e-05
15.0 0.00019 9.5e-05 9.5e-05
16.0 0.00019 9.5e-05 9.5e-05
17.0 0.00019 9.5e-05 9.5e-05
18.0 0.00019 9.5e-05 9.5e-05
19.0 0.00019 9.5e-05 0.000285
20.0 0.00019 9.5e-05 0.000285
21.0 0.00019 9.5e-05 0.000285
22.0 0.00019 9.5e-05 0.000285
23.0 0.00019 9.5e-05 0.000285
24.0 0.00019 9.5e-05 0.000285
25.0 0.00019 9.5e-05 0.000285
26.0 0.00019 9.5e-05 0.000285
27.0 0.00019 9.5e-05 0.000285
28.0 0.00019 9.5e-05 0.000285
29.0 0.00019 9.5e-05 0.000285
30.0 0.00019 9.5e-05 0.000285
31.0 0.00019 9.5e-05 0.000285
32.0 0.00019 9.5e-05 0.000285
33.0 0.00019 9.5e-05 0.000285
34.0 0.00019 9.5e-05 0.000285
35.0 0.00019 9.5e-05 0.000285
36.0 0.00019 9.5e-05 0.000285
37.0 0.00019 9.5e-05 0.000285
38.0 0.00019 9.5e-05 0.000285
39.0 0.00019 9.5e-05 0.000285
40.0 0.00019 9.5e-05 0.000285
41.0 0.00019 9.5e-05 0.000285
42.0 0.00019 9.5e-05 0.000285
43.0 0.00019 9.5e-05 0.000285
44.0 0.00019 9.5e-05 0.000285
45.0 0.00019 9.5e-05 0.000285
46.0 0.00019 9.5e-05 0.000285
47.0 0.00019 9.5e-05 0.000285
48.0 0.00019 9.5e-05 0.000285
49.0 0.00019 9.5e-05 0.000285
50.0 0.00019 9.5e-05 0.000285
51.0 0.00019 9.5e-05 0.000285
52.0 0.00019 9.5e-05 0.000285
53.0 0.00019 9.5e-05 0.000285
54.0 0.00019 9.5e-05 0.000285
55.0 0.00019 9.5e-05 0.000285
56.0 0.00019 9.5e-05 0.000285
57.0 0.00019 9.5e-05 0.000285
58.0 0.00019 9.5e-05 0.000285
59.0 0.00019 9.5e-05 0.000285
60.0 0.00019 9.5e-05 0.000285
61.0 0.00019 9.5e-05 0.000285
62.0 0.00019 9.5e-05 0.000285
63.0 0.00019 9.5e-05 0.000285
64.0 0.00019 9.5e-05 0.000285
65.0 0.00019 9.5e-05 0.000285
66.0 0.00019 9.5e-05 0.000285
67.0 0.00019 9.5e-05 0.000285
68.0 0.00019 9.5e-05 0.000285
