Current measurements:
dvdd vdd vprech
0.0 0.00019 0.0 9.5e-05
1.0 0.00019 0.0 9.5e-05
2.0 0.00019 0.0 9.5e-05
3.0 0.00019 0.0 9.5e-05
4.0 9.5e-05 0.0 9.5e-05
5.0 9.5e-05 0.0 9.5e-05
6.0 9.5e-05 0.0 9.5e-05
7.0 9.5e-05 0.0 9.5e-05
8.0 9.5e-05 0.0 9.5e-05
9.0 9.5e-05 0.0 9.5e-05
10.0 9.5e-05 0.0 9.5e-05
11.0 9.5e-05 0.0 9.5e-05
12.0 9.5e-05 0.0 9.5e-05
13.0 9.5e-05 0.0 9.5e-05
14.0 9.5e-05 0.0 9.5e-05
15.0 9.5e-05 0.0 9.5e-05
16.0 9.5e-05 0.0 9.5e-05
17.0 9.5e-05 0.0 9.5e-05
18.0 9.5e-05 0.0 9.5e-05
19.0 9.5e-05 0.0 0.000285
20.0 9.5e-05 0.0 0.000285
21.0 9.5e-05 0.0 0.000285
22.0 9.5e-05 0.0 0.000285
23.0 9.5e-05 0.0 0.000285
24.0 9.5e-05 0.0 0.000285
25.0 9.5e-05 0.0 0.000285
26.0 9.5e-05 0.0 0.000285
27.0 9.5e-05 0.0 0.000285
28.0 9.5e-05 0.0 0.000285
29.0 9.5e-05 0.0 0.000285
30.0 9.5e-05 0.0 0.000285
31.0 9.5e-05 0.0 0.000285
32.0 9.5e-05 0.0 0.000285
33.0 9.5e-05 0.0 0.000285
34.0 9.5e-05 0.0 0.000285
35.0 9.5e-05 0.0 0.000285
36.0 9.5e-05 0.0 0.000285
37.0 9.5e-05 0.0 0.000285
38.0 9.5e-05 0.0 0.000285
39.0 9.5e-05 0.0 0.000285
40.0 9.5e-05 0.0 0.000285
41.0 9.5e-05 0.0 0.000285
42.0 9.5e-05 0.0 0.000285
43.0 9.5e-05 0.0 0.000285
44.0 9.5e-05 0.0 0.000285
45.0 9.5e-05 0.0 0.000285
46.0 9.5e-05 0.0 0.000285
47.0 9.5e-05 0.0 0.000285
48.0 9.5e-05 0.0 0.000285
49.0 9.5e-05 0.0 0.000285
50.0 9.5e-05 0.0 0.000285
51.0 9.5e-05 0.0 0.000285
52.0 9.5e-05 0.0 0.000285
53.0 9.5e-05 0.0 0.000285
